zh,en
对 没错 如果你想要同情 就最好先从诚实开始,"Yeah, I did. If you're looking for sympathy, you might want to start with honesty."
至于诚实 举个例子吧 Tom,"Here's an example of honesty, Tom."
你给我做了两年薄饼,You've been making me pancakes for two years.
- 我恨死薄饼了,- I hate pancakes.
- 你想要诚实?,- You want honest?
我告诉你,Here's one.
如果你想铐住一个人 就别弄断他的拇指,"If you're gonna handcuff somebody, don't break their thumb."
你的手铐,Your handcuffs.
一只铐着手 一只铐上栏杆 快点,One on the wrist. One on the banister.
我不想伤害你 Liz,"I am not here to hurt you, Liz."
我的工作从来都不是伤害你,My job was never to hurt you.
我是一个好人,I'm one of the good guys.
Reddington...,Reddington...
他不是你想象的那个样子,He's not who you think.
- 我会找到你,- I will find you.
- 我能证明,- I can prove it.
台灯旁边的钥匙...,The key in the lamp...
我知道你找到了,I know you found it.
拿它去拉德福德银行 3929号柜,Take it to radford bank. Box number 3929.
他不是你想象的样子,He is not who you think he is.
再见 Liz,"Goodbye, Liz."
要我阻止他吗?,You want me to stop him?
不 让尾巴们去跟踪就好,"No, we'll just let the tail follow him."
跟我讲讲白雾项目,Tell me about Whitefog.
白雾是中国政府五年前,Whitefog was a black project started
开始的一个秘密项目,By the Chinese government five years ago.
能告诉我Keen特工是怎么回事吗?,You want to tell me what's going on with Agent Keen?
- 什么?,- Sir?
- 她今天去哪了?,- Where was she today?
别告诉我你不知道 去找Reddington了?,And don't tell me you don't know. Was it Reddington?
有什么问题吗?,Are there problems?
我觉得她家里有点麻烦 长官,"I think she's having troubles at home, sir."
我让他跑了,I lost him.
没有,No.
你一直没让他离开你的视线,"This whole time, you've never let him out of your sight."
- 你的人现在正跟踪他,Your people are following him now.
- 是的,They are.
这一切会怎么结束?,How is this all gonna end?
这就是一个结束,This is an end.
然后新的事情会开始,And then something new will begin.
你理应获得最好的生活 Lizzy,"You deserve the best in life, Lizzy."
我知道这话 从我这个给你带来最糟的事的人 嘴里说出来有点怪,"I know that sounds odd coming from a man who has brought you some of the worst,"
但这就是Tom必须那么努力的原因...,but it's the reason why Tom had to work so hard to be that for you...
他要善良 体贴 逗你笑 让你爱上他,"To be kind, to be thoughtful, make you laugh, to make you love him."
因为这是你值得的,Because you deserve that.
你都会拥有的,And it will come.
《党同伐异》 导演：,A Sun-play of the Ages _ INTOLERANCE
大卫・沃克・格里菲斯 人类对爱的追求从未停止,A drama of Comparisons _ ACT I
本剧由发生在四个不同 历史阶段的独立故事组成,"Our play is made up of four separate stories, laid in different periods of history, each with its own set of characters."
每个故事所表现的都是仇恨、 不宽容与仁爱、宽容的斗争,"ــــــــــــــــ Each story shows how hatred and intolerance, through all the ages, have battled against love and charity."
在永无休止地摆动着的摇篮里,ـــــــــــــــ ـــــــــــــــ Out of the cradle endlessly rocking. ــــــــــــــــ ــــــــــــــــ
党同伐异,Intolerance
第一个故事 现代的摇篮 在一座西部城市里 有几位雄心勃勃的女士,¶ Our first story...out of the cradle of the present.
"她们组织在一起 ""发扬""人道主义","¶ In a western city we find certain ambitious ladies banded together for the ""uplift"" of humanity."
改革运动需要募捐,Even reform movements must be financed.
如果我们能拉拢到 詹金斯小姐...,"""If we can only interest Miss Jenkins..."
和她的钱,"with her money..."""
玛丽・T・詹金斯的工作很悠闲 她是工业寡头的单身妹妹,"A little affair is being given by Mary T. Jenkins, unmarried sister of the autocratic industrial overlord... ـــــــ"
故事的女主角与父亲住在一起 父亲在詹金斯的工厂打工 每天工资$2.75,The girl of our story keeps house for her father who works in a Jenkins mill.
他们有一处小庭院， 养着四只母鸡，四只鹅 生活得还算快乐和满足,"With a wage of $2.75 a day, a little garden, four hens, ditto geese, and a fair measure of happiness and contentment."
小可爱,The little Dear One.
一个她不认识的小伙子 和他父亲在同一间工厂工作,"The Boy, unacquainted with the little Dear One, is employed with his father in the same mill. ــــــــــــــ ــــــــــــــ"
时间将带走青春和欢笑,¶ Age intolerant of youth and laughter.
"""未婚妇女促进会""成功 约见了詹金斯小姐寻求资助","¶ ""The vestal virgins of Uplift"" succeed in reaching Miss Jenkins in their search for funds."
古老的耶路撒冷 是座富饶美丽的城市,The Gospels of Matthew and Luke identify Bethlehem as the birthplace of Jesus.
佳发门附近,Near the Jaffa gate.
在加利利的迦南的房子,The house in Cana of Galilee
法利赛人当中有伪君子,Certain hypocrites among the Pharisees.
法利赛人代表着有学问的犹太人 后来名誉却毁于伪君子之手,"Pharisee... A learned Jewish party, the name possibly brought into disrepute later by hypocrites among them."
法利赛人祈求他们 停止这种行为,When these Pharisees pray they demand that all action cease.
感谢你， 我比其他人都好,"Oh Lord, I thank thee that I am better than other men."
阿门!,Amen.
另一个过去的时代，公元1572年,¶ Another period of the past.
巴黎，党同伐异的温床 凯瑟琳・德・梅第奇的时代,¶ A.D. 1572...
她的儿子 法国国王查理九世,"Paris, a hotbed of intolerance, in the time of Catherine de Medici, and her son Charles IX, King of France."
查理九世正在接见他的弟弟 法国的大亲王，安茹公爵,"Charles IX receiving his brother, Monsieur La France, Duc d'Anjou."
娇气的大亲王是王位继承人， 喜好宠物与娱乐,"¶ The heir to the throne, the effeminate Monsieur La France."
太后凯瑟琳・德・梅第奇是天主教徒 她暗中排挤雨格诺教 雨格诺教是这个时期的新教派,"Catherine de Medici, queen-mother who covers her political intolerance of the Huguenots... beneath the cloak of the great Catholic Religion."
伟大的新教领导人 海军上将科利尼,"The great Protestant leader, the Admiral Coligny, head of the Huguenot party."
多完美的男人，如果海军上将 科利尼能跟我们合作,"What a wonderful man, the Admiral Coligny, if he only thought as we do."
多完美的国王， 如果他能跟我们合作,"What a wonderful king, if he only thought as we do."
国王对科利尼的偏爱 引起了反对者的憎恨,The King's favor to Coligny increases the hatred of the opposite party.
瓦卢瓦的玛格丽特 （玛戈王后）,Marguerite of Valois.
纳瓦拉的亨利,Henry of Navarre.
布朗・埃斯，雨格诺教家庭 还有她的情人，普鲁斯普・拉托,"Brown Eyes, her family of the Huguenot party, and her sweetheart, Prosper Latour."
布朗・埃斯引起了雇佣兵的注意,Brown Eyes attracts the attention of a mercenary soldier.
工人们的消遣,A diversion of the mill workers.
世事变化无常...,To every thing there is a season...
有时使人衰伤，有时使人快乐...,a time to mourn and a time to dance......
一切早已注定,He hath made everything beautiful in his time. Ecclesiastes iii.
这位小可爱， 正在享受人生,The little Dear One having the time of her life. ـــــــــــــ ـــــــــــــ
想尝尝我的吗？,Want my straw? ــــــــــــــ ــــــــــــــ
詹金斯收到她哥哥 为发扬人道主义而捐献的支票,Miss Jenkins receives a check from her brother for the purposed uplift of humanity. ـــــــــ
詹金斯研究工人们的习惯,Jenkins studies his employes' habits. ــــــــــــــ ــــــــــــــ
十点了，他们应该休息 明天还要工作,Ten o'clock! They should be in bed so they can work tomorrow. ــــــــــــــ ــــــــــــــ
伯沙撒时期，公元前539年 巴比伦城门外 商人们、农民们、 坐大象来的东印度人、埃及人,"Outside of Imgur Bel, the great gate of Babylon, in the time of Belshazzar, 539 B.C."
努米底亚人和 野心勃勃的波斯人 侦察着这座城市,"Merchants, farmers, East Indians, with trains of elephants, Egyptians, Numidians, and ambitious Persians spying upon the city."
这位山中少女来自苏萨娜山,The Mountain Girl down from the mountains of Suisana.
唱诗人雷波索德 马尔杜克神殿主祭师的间谍,"The Rhapsode, a Warrior singer... poet agent of the High Priest of Bel."
贝尔・马尔杜克神殿的主祭师 巴比伦神殿的最高权威 嫉妒地看着对手 女神伊师塔的雕像,"The priest of Bel-Marduk, supreme God of Babylon, jealously watches the image of the rival goddess,"
被神圣的方舟运进这座城市,"Ishtar, enter the city, borne in a sacred ark."
最爱的 在我后院的土堆中 长有许多小花... 七朵百合,Dearest one...in the ash heaps of my backyard there will be small flowers; seven lilies...if thou wilt love me...but a little.
爱神伊师塔，我向你鞠躬四十九次 请让她喜欢这个吻,"Ishtar, goddess of love, seven times seven I bow to thee."
